"nome_uf","nome_mun","cnes","tipo_cnes","vinc_sus","n_cnes","tipopremat_espontaneo","tipopremat_eletivo","consprenat_menor_que_6_consultas","indice_de_gini_2010_municipio","idhm_2010_municipio","cluster"
"RONDONIA","ALTA FLORESTA DOESTE","2679477","Inter.","1",106,0.0377358490566038,0.0188679245283019,0.188679245283019,0.58,0.641,"3"
"RONDONIA","ARIQUEMES","2494299","Urbano","1",1169,0.0778443113772455,0.0230966638152267,0.161676646706587,0.53,0.702,"2"
"RONDONIA","ARIQUEMES","2515504","Urbano","0",555,0.0522522522522523,0.0198198198198198,0.0342342342342342,0.53,0.702,"2"
"RONDONIA","ARIQUEMES","2515520","Urbano","0",332,0.0391566265060241,0.036144578313253,0.207831325301205,0.53,0.702,"2"
"RONDONIA","ARIQUEMES","2515598","Urbano","1",158,0.0506329113924051,0.0443037974683544,0.170886075949367,0.53,0.702,"2"
"RONDONIA","ARIQUEMES","2515601","Urbano","0",78,0.102564102564103,0.0641025641025641,0.115384615384615,0.53,0.702,"1"
"RONDONIA","ARIQUEMES","6663834","Urbano","0",31,0.032258064516129,0.0645161290322581,0.161290322580645,0.53,0.702,"2"
"RONDONIA","CACOAL","2496046","Urbano","1",1092,0.0970695970695971,0.0311355311355311,0.128205128205128,0.57,0.718,"2"
"RONDONIA","CACOAL","2516381","Urbano","0",173,0.0635838150289017,0.046242774566474,0.092485549132948,0.57,0.718,"2"
"RONDONIA","CACOAL","2784637","Urbano","0",259,0.0656370656370656,0.0347490347490347,0.0733590733590734,0.57,0.718,"2"
"RONDONIA","CACOAL","3651665","Urbano","0",62,0.0806451612903226,0.0161290322580645,0.17741935483871,0.57,0.718,"3"
"RONDONIA","CACOAL","7648693","Urbano","0",157,0.0127388535031847,0.0445859872611465,0.114649681528662,0.57,0.718,"2"
"RONDONIA","CEREJEIRAS","2334801","Urbano","1",160,0.01875,0.0125,0.09375,0.5,0.692,"2"
"RONDONIA","ESPIGAO DOESTE","2808587","Inter.","1",119,0.117647058823529,0.00840336134453781,0.210084033613445,0.52,0.672,"3"
"RONDONIA","JARU","2808609","Urbano","1",771,0.0557717250324254,0.0116731517509728,0.0687418936446174,0.49,0.689,"2"
"RONDONIA","JIPARANA","2495279","Urbano","1",1868,0.0733404710920771,0.0187366167023555,0.137044967880086,0.53,0.714,"2"
"RONDONIA","JIPARANA","2516144","Urbano","0",33,0.0303030303030303,0.0606060606060606,0.0909090909090909,0.53,0.714,"2"
"RONDONIA","JIPARANA","3152928","Urbano","1",339,0.0530973451327434,0.00884955752212389,0.0501474926253687,0.53,0.714,"2"
"RONDONIA","JIPARANA","6179703","Urbano","0",32,0.03125,0.03125,0.09375,0.53,0.714,"2"
"RONDONIA","MACHADINHO DOESTE","2808617","Rural","1",430,0.0511627906976744,0.00697674418604651,0.151162790697674,0.55,0.596,"3"
"RONDONIA","OURO PRETO DO OESTE","2516276","Urbano","1",333,0.141141141141141,0.0750750750750751,0.111111111111111,0.48,0.682,"1"
"RONDONIA","OURO PRETO DO OESTE","2516284","Urbano","0",201,0.054726368159204,0.0199004975124378,0.0945273631840796,0.48,0.682,"2"
"RONDONIA","OURO PRETO DO OESTE","2516292","Urbano","0",226,0.128318584070796,0.00442477876106195,0.079646017699115,0.48,0.682,"2"
"RONDONIA","PIMENTA BUENO","2516047","Urbano","0",420,0.0428571428571429,0.00238095238095238,0.114285714285714,0.54,0.71,"2"
"RONDONIA","PORTO VELHO","2515369","Urbano","1",792,0.0404040404040404,0.0202020202020202,0.127525252525253,0.56,0.736,"2"
"RONDONIA","PORTO VELHO","3970442","Urbano","1",3240,0.0342592592592593,0.00617283950617284,0.270679012345679,0.56,0.736,"4"
"RONDONIA","PORTO VELHO","4001303","Urbano","1",3390,0.0876106194690266,0.0991150442477876,0.26165191740413,0.56,0.736,"4"
"RONDONIA","PORTO VELHO","6205224","Urbano","0",612,0.0457516339869281,0.042483660130719,0.0784313725490196,0.56,0.736,"2"
